Reading Duration;Conversion Duration;Sorting Duration;Compression Duration;Aggregation Duration;Writing Duration;Total Duration;Packet Handling Time;Packets per Second;Packet Count;Total File Size;Bytes per Packet;File Count
1117763423;1117853262;1121298334;1149578749;1158332156;1207984803;1258083124;1219;820344;1031564;13411538;13.0012;1
1085481943;1085531407;1088796875;1118122946;1127097745;1177994398;1229241212;1191;839630;1031564;13411430;13.0011;1
1091283764;1091379874;1094772399;1122657853;1131324127;1181788771;1232606781;1194;837520;1031564;13411586;13.0012;1
1111720852;1111778096;1115156357;1145421054;1153935791;1203698442;1254567825;1216;822368;1031564;13411598;13.0012;1
1088109899;1088193638;1091454915;1121067071;1129830293;1179386117;1229364229;1191;839630;1031564;13411322;13.001;1
1080871925;1080939788;1084328671;1116754799;1125940074;1177323076;1229066505;1191;839630;1031564;13411510;13.0011;1
1126912939;1127015081;1130350947;1161018134;1169595844;1220776510;1272374207;1233;811030;1031564;13411402;13.001;1
1109948722;1110037794;1113782347;1145547104;1154312291;1204284266;1254628923;1216;822368;1031564;13411406;13.001;1
1088036075;1088120609;1091553326;1124378705;1133180032;1184870614;1235980311;1198;834724;1031564;13411418;13.0011;1
1080784971;1080858063;1084065889;1113458503;1122686156;1173512681;1224664705;1187;842459;1031564;13411434;13.0011;1
1117944888;1118054941;1121199559;1150093462;1159024834;1210079669;1261655077;1223;817661;1031564;13411422;13.0011;1
1128541691;1128616594;1131799988;1161033586;1170021744;1220092807;1270928818;1232;811688;1031564;13411446;13.0011;1
1115035224;1115098674;1118489469;1148218466;1156979122;1207459491;1258287384;1219;820344;1031564;13411314;13.001;1
1119016226;1119116133;1122334255;1151019841;1161359496;1212831909;1264678236;1225;816326;1031564;13411290;13.0009;1
1076985851;1077026453;1080407266;1110111260;1119210316;1169674269;1219634688;1182;846023;1031564;13411410;13.001;1
1088151385;1088247528;1091424179;1119168486;1128257559;1180253127;1232611787;1194;837520;1031564;13411450;13.0011;1
1147049080;1146776394;1149675379;1178895625;1188211453;1239343504;1291476969;1251;799360;1031564;13411358;13.001;1
1123828075;1123926858;1127435443;1157131044;1166254844;1218658303;1271460852;1232;811688;1031564;13411438;13.0011;1
