Reading Duration;Conversion Duration;Sorting Duration;Compression Duration;Aggregation Duration;Writing Duration;Total Duration;Packet Handling Time;Packets per Second;Packet Count;Total File Size;Bytes per Packet;File Count
23395966140;23396039624;23478341061;23844498653;24020844691;24663012313;25020915050;243;4115226;102599774;1770978154;17.261;12
23419888043;23419990991;23503752864;23881666626;24051226990;24700370627;25050715048;244;4098360;102599774;1771233018;17.2635;12
23261150549;23261226972;23337502717;23686149602;23862392064;24513569807;24859806706;242;4132231;102599774;1770689558;17.2582;12
24154695561;24154787847;24177429067;24695155139;24810923890;25510384388;25741986071;250;4000000;102599774;1778472430;17.3341;12
23561960411;23562059361;23654286630;24067872075;24227438677;24875708201;25221602546;245;4081632;102599774;1771325310;17.2644;12
23964639324;23964702036;24071461261;24578893782;24734369282;25401225172;25743255970;250;4000000;102599774;1771522578;17.2663;12
24203507209;24203603885;24224713354;24765243298;24888955584;25582035660;25825103813;251;3984063;102599774;1778083022;17.3303;12
23271713144;23271800859;23352146291;23710028572;23872003895;24540334375;24862326482;242;4132231;102599774;1770743518;17.2587;12
23634017378;23634109336;23726935906;24163755414;24324949718;24961293596;25282700436;246;4065040;102599774;1771598210;17.2671;12
23163441270;23163514245;23236291687;23563606972;23761572655;24425538141;24751872995;241;4149377;102599774;1770286714;17.2543;12
23496864892;23496941240;23582650869;23974742528;24170203840;24823491777;25180544044;245;4081632;102599774;1771132678;17.2625;12
23174618641;23174706686;23249490104;23591892463;23768690299;24421764730;24713438096;240;4166666;102599774;1770621102;17.2576;12
23358851812;23358936438;23439245328;23807015374;23983470405;24603358323;24944802316;243;4115226;102599774;1770881110;17.2601;12
22999215651;22999292065;23067402902;23387478376;23561969903;24279400861;24533359725;239;4184100;102599774;1769750962;17.2491;12
23295639059;23295736571;23374229544;23732142800;23909654858;24587459948;24979369535;243;4115226;102599774;1770659870;17.2579;12
23382995751;23383069231;23465719472;23846862266;24027814996;24646866346;25002715297;243;4115226;102599774;1770864366;17.2599;12
23297387802;23297462616;23374912794;23731256186;23941176180;24569049971;24928319415;242;4132231;102599774;1770841790;17.2597;12
24458913677;24459014368;24496965941;24876410921;24998725214;25710982427;25862917955;252;3968253;102599774;1782527938;17.3736;12
23506303735;23506369906;23595662366;23994333765;24158281735;24790986603;25122932589;244;4098360;102599774;1771243238;17.2636;12
23154326590;23154401562;23226672838;23553323500;23723111367;24665552557;24916424635;242;4132231;102599774;1770298478;17.2544;12
23432616310;23432685147;23517894229;23902208739;24062687180;24705042926;25046606132;244;4098360;102599774;1771121702;17.2624;12
23202213847;23202299903;23275739072;23611371722;23782768287;24440913849;24765578741;241;4149377;102599774;1770363802;17.255;12
