Reading duration;Conversion duration;Sorting duration;Compression duration;Aggregation duration;Writing duration;Total duration;Packet handling time;Packets per second;Packet count;Total file size;Bytes per packet;File count
6105072830;6105157607;6113360027;6385280071;6590633319;8053004554;9196534215;349;2865329;26336938;394638696;14.9842;2
5936959383;5937039520;5992098764;6248591630;6476427021;7924826361;9171983440;348;2873563;26336938;392141936;14.8894;2
6384093575;6384245624;6398089958;6515053528;6719773740;8187255891;9298368535;353;2832861;26336938;395937944;15.0336;2
6323519047;6323618239;6338629018;6488610343;6679129624;8280203383;9512087707;361;2770083;26336938;396228120;15.0446;2
6275408027;6275497619;6288108621;6462557546;6649715596;8101492983;9168915848;348;2873563;26336938;395980948;15.0352;2
6010099845;6010173579;6056909266;6336544518;6561555538;8013187917;9213933220;349;2865329;26336938;393154164;14.9279;2
5968505440;5968606415;6019530697;6294859263;6531188918;7977019691;9206677043;349;2865329;26336938;392493036;14.9028;2
6267403629;6267496964;6280503924;6468442305;6657359600;8117268992;9192157311;349;2865329;26336938;395988288;15.0355;2
6366638074;6366781228;6384033134;6501802736;6700337267;8163904312;9287268581;352;2840909;26336938;396357928;15.0495;2
6296848121;6296926172;6310342058;6471689948;6659519750;8118948204;9176610742;348;2873563;26336938;396050732;15.0378;2
6262525054;6262621197;6276051050;6466107434;6655805571;8141876259;9251996583;351;2849002;26336938;395930344;15.0333;2
5710258507;5710327156;5761941933;6016259368;6248234158;7739389653;9014526628;342;2923976;26336938;392482004;14.9023;2
5829988719;5830092983;5880836993;6125377634;6358866951;7817492968;9048365068;343;2915451;26336938;391980200;14.8833;2
5685458448;5685532114;5730333297;5982473484;6218308127;7677472890;8918228984;338;2958579;26336938;392477416;14.9022;2
5775154812;5775220393;5833115725;6097879829;6329400370;7778884559;9012181089;342;2923976;26336938;392551436;14.905;2
6012234520;6012309132;6056802902;6343301620;6568232728;8011634876;9200206601;349;2865329;26336938;393031776;14.9232;2
5914951897;5915023686;5971065711;6252497960;6484522746;7937171121;9170768142;348;2873563;26336938;392626600;14.9078;2
5635349055;5635451803;5679986865;5913534359;6150138849;7593003723;8844039335;335;2985074;26336938;391747696;14.8745;2
5853956574;5854034778;5904582133;6172128574;6403239727;7783832408;8946381850;339;2949852;26336938;392617496;14.9075;2
5729948502;5730062446;5776830448;6035048337;6267241629;7647283649;8834987060;335;2985074;26336938;392484512;14.9024;2
5941154725;5941262896;5991513038;6273331400;6496196733;7947374061;9159640420;347;2881844;26336938;392462956;14.9016;2
5676371206;5676439178;5724230184;5975446378;6203983412;7649079961;8887946257;337;2967359;26336938;392486668;14.9025;2
5950021758;5950113260;6001799580;6282627999;6511109082;7894679960;9053652630;343;2915451;26336938;392603252;14.9069;2
5910545839;5910618177;5960637828;6231684347;6462234190;7846198955;9009820491;342;2923976;26336938;392627884;14.9079;2
5733030124;5733113363;5781030370;6042249648;6270703900;7721927742;8956614892;340;2941176;26336938;392570752;14.9057;2
5989942293;5990026891;6042008035;6325420988;6558827703;8009183174;9252071939;351;2849002;26336938;392565924;14.9055;2
5995235064;5995307262;6045358389;6326710231;6561202685;8114091946;9451986881;358;2793296;26336938;392394716;14.899;2
5599569608;5599637808;5654366406;5898590301;6147740610;7598207377;8835517396;335;2985074;26336938;392475716;14.9021;2
6024256449;6024396816;6060330035;6359449545;6582250617;8022191270;9190470292;348;2873563;26336938;393500052;14.941;2
5954502447;5954613722;6006584763;6285261089;6509916125;7944691486;9163498173;347;2881844;26336938;392555580;14.9051;2
6205393814;6205501486;6216590479;6427966505;6625698157;8068443186;9167762763;348;2873563;26336938;395569804;15.0196;2
5917439726;5917536364;5970128623;6247244291;6485943154;7862306458;9037317356;343;2915451;26336938;392512884;14.9035;2
